defenseTeam,predict_proba
PIT,24.40918551055529
MIN,20.54750238737579
BAL,19.21867330698119
CLE,19.12921225917878
JAX,15.5973822081377
ARI,14.50671374489534
TB,13.988422686967171
CHI,13.804216027364026
IND,13.59288610296936
WAS,13.235792042449434
LAC,13.14675910818909
ATL,12.775481432929666
DEN,12.66194701300218
PHI,11.923199454947706
LA,11.74173965958864
OAK,11.3184476774257
TEN,11.26242411053744
BUF,10.982148898102794
NYJ,10.555533596412864
KC,10.089569515711322
CAR,9.995539587265649
DET,8.997594017959555
NE,8.596773750142827
SF,7.335507923833625
DAL,7.185952941182928
NO,6.3983111051120165
GB,2.3544219817181213
HOU,1.3592893230736545
MIA,-0.49125520650579757
NYG,-1.4504315321515688
SEA,-2.2077405565782575
CIN,-3.817163848489574
